Character,Win,Stage,L-Cancel Successes,L-Cancel Failures,Max Combo,Mean X Distance,Platform
FOX,1,FOUNTAIN_OF_DREAMS,20,2,1,0.0,left_platform
CAPTAIN_FALCON,1,BATTLEFIELD,3,0,1,0.13038598025346873,left_ledge
MARTH,0,BATTLEFIELD,13,0,0,0.3183482142857143,top_platform
CAPTAIN_FALCON,0,BATTLEFIELD,17,6,3,0.21201218732960742,right_platform
MARTH,1,BATTLEFIELD,47,1,2,0.17857142857142858,left_platform
CAPTAIN_FALCON,0,YOSHIS_STORY,18,6,4,0.20793960811891413,top_platform
MARTH,1,YOSHIS_STORY,46,2,2,0.006012024048096177,right_platform
CAPTAIN_FALCON,0,YOSHIS_STORY,14,1,2,0.20736097857823327,left_platform
MARTH,1,YOSHIS_STORY,44,3,2,0.006012024048096177,left_platform
FALCO,0,BATTLEFIELD,15,1,3,0.15191536171562955,left_platform
SHEIK,1,BATTLEFIELD,47,1,2,0.05714285714285715,left_platform
FALCO,0,DREAM_LAND_N64,15,1,1,0.17524789115646258,top_platform
SHEIK,1,DREAM_LAND_N64,49,4,4,0.0,top_platform
FALCO,0,DREAM_LAND_N64,9,1,1,0.18179780247264948,right_platform
SHEIK,1,DREAM_LAND_N64,46,3,2,0.0,right_platform
SHEIK,0,FOUNTAIN_OF_DREAMS,5,2,1,0.1573836208529848,left_platform
MARTH,1,FOUNTAIN_OF_DREAMS,21,3,1,0.3328301886792453,top_platform
SHEIK,0,BATTLEFIELD,19,4,6,0.16676485543878636,right_platform
MARTH,1,BATTLEFIELD,27,6,1,0.05714285714285715,right_platform
SHEIK,1,DREAM_LAND_N64,16,4,2,0.16087016760815492,right_platform
MARTH,0,DREAM_LAND_N64,31,8,2,0.0,top_platform
SHEIK,0,FINAL_DESTINATION,10,0,3,0.16502369617528442,left_ledge
MARTH,1,FINAL_DESTINATION,11,2,2,0.06504065040650407,left_ledge
SHEIK,0,BATTLEFIELD,11,4,5,0.18406022501654534,left_platform
MARTH,1,BATTLEFIELD,23,3,2,0.05714285714285715,left_platform
CAPTAIN_FALCON,1,BATTLEFIELD,48,2,1,0.19591136783444477,left_platform
CAPTAIN_FALCON,0,BATTLEFIELD,17,0,0,0.1732142857142857,right_platform
CAPTAIN_FALCON,0,BATTLEFIELD,44,4,2,0.17376259032543148,left_platform
CAPTAIN_FALCON,1,BATTLEFIELD,54,6,2,0.05714285714285715,left_platform
CAPTAIN_FALCON,0,BATTLEFIELD,30,5,2,0.1851692425640469,left_platform
CAPTAIN_FALCON,1,BATTLEFIELD,37,1,2,0.05714285714285715,left_platform
CAPTAIN_FALCON,0,BATTLEFIELD,39,4,2,0.17536619864077,right_platform
CAPTAIN_FALCON,1,BATTLEFIELD,53,3,2,0.05714285714285715,left_platform
CAPTAIN_FALCON,0,BATTLEFIELD,20,7,2,0.18663689266848552,left_platform
MARTH,1,BATTLEFIELD,57,3,1,0.17857142857142858,left_platform
CAPTAIN_FALCON,0,YOSHIS_STORY,21,2,2,0.17966980792182768,top_platform
MARTH,1,YOSHIS_STORY,36,3,2,0.2697967363298025,left_platform
CAPTAIN_FALCON,1,FOUNTAIN_OF_DREAMS,36,5,3,0.20218917316090346,left_ledge
MARTH,0,FOUNTAIN_OF_DREAMS,47,3,2,0.26435220125786163,top_platform
CAPTAIN_FALCON,0,DREAM_LAND_N64,19,1,3,0.2124262854725019,right_platform
MARTH,1,DREAM_LAND_N64,64,1,1,0.0,right_platform
FOX,0,YOSHIS_STORY,16,3,4,0.17591591204195964,left_platform
MARTH,1,YOSHIS_STORY,19,1,2,0.006012024048096177,top_platform
FOX,0,YOSHIS_STORY,26,2,6,0.17646964003759755,left_platform
MARTH,1,YOSHIS_STORY,28,5,2,0.006012024048096177,left_platform
FOX,0,YOSHIS_STORY,25,2,4,0.22696431060230862,right_platform
MARTH,1,YOSHIS_STORY,24,3,2,0.006012024048096177,right_platform
MARTH,1,BATTLEFIELD,42,7,2,0.20218036992871233,left_platform
MARTH,0,BATTLEFIELD,26,6,2,0.17857142857142858,left_ledge
MARTH,1,YOSHIS_STORY,35,5,2,0.24245309324903175,left_platform
MARTH,0,YOSHIS_STORY,31,8,2,0.33129115373604356,left_platform
SHEIK,0,YOSHIS_STORY,7,0,0,0.1820460197503441,left_platform
MARTH,1,YOSHIS_STORY,0,1,0,0.2464929859719439,right_platform
SHEIK,0,BATTLEFIELD,30,10,2,0.20197475666768855,left_platform
MARTH,1,BATTLEFIELD,23,5,6,0.17857142857142858,right_platform
SHEIK,0,FINAL_DESTINATION,27,9,2,0.22051514756022889,right_ledge
MARTH,1,FINAL_DESTINATION,22,1,4,0.10170731707317072,left_ledge
SHEIK,0,FINAL_DESTINATION,24,3,2,0.23702765727570796,right_ledge
MARTH,1,FINAL_DESTINATION,20,2,6,0.2032520325203252,right_ledge
FALCO,0,BATTLEFIELD,5,1,0,0.13271376385770417,left_platform
FOX,1,BATTLEFIELD,16,1,0,0.09200892857142857,right_platform
SAMUS,0,BATTLEFIELD,15,10,10,0.17307036975543827,right_platform
SHEIK,1,BATTLEFIELD,24,6,4,0.05714285714285715,left_platform
SAMUS,0,DREAM_LAND_N64,10,11,12,0.1867754593346836,left_platform
SHEIK,1,DREAM_LAND_N64,25,6,6,0.0,right_platform
SAMUS,0,DREAM_LAND_N64,9,3,10,0.1759864784570667,left_platform
SHEIK,1,DREAM_LAND_N64,14,4,2,0.0,right_platform
FOX,0,BATTLEFIELD,1,1,0,0.20180281515260973,left_platform
SHEIK,1,BATTLEFIELD,19,3,1,0.05714285714285715,right_platform
FOX,1,BATTLEFIELD,11,2,1,0.18865147718968578,left_platform
SHEIK,0,BATTLEFIELD,25,7,4,0.05714285714285715,right_platform
FOX,0,YOSHIS_STORY,12,0,1,0.20207465150755324,top_platform
