Character,Win,Stage,L-Cancel Successes,L-Cancel Failures,Max Combo,Mean X Distance,Platform_left_ledge,Platform_left_platform,Platform_right_ledge,Platform_right_platform,Platform_top_platform
SHEIK,0,YOSHIS_STORY,0,0,0,0.2170355612423422,0.0,1.0,0.0,0.0,0.0
FOX,1,YOSHIS_STORY,0,0,0,0.0060120240480961,0.0,0.0,0.0,1.0,0.0
SHEIK,0,FINAL_DESTINATION,21,1,6,0.2344340374202782,1.0,0.0,0.0,0.0,0.0
FOX,1,FINAL_DESTINATION,21,1,4,0.2032520325203252,0.0,0.0,1.0,0.0,0.0
SHEIK,0,FOUNTAIN_OF_DREAMS,14,3,6,0.1960150527044825,0.0,1.0,0.0,0.0,0.0
FOX,1,FOUNTAIN_OF_DREAMS,14,3,3,0.0,0.0,1.0,0.0,0.0,0.0
SHEIK,1,FOUNTAIN_OF_DREAMS,9,2,5,0.2078877495214657,0.0,0.0,1.0,0.0,0.0
FOX,0,FOUNTAIN_OF_DREAMS,9,2,4,0.2761761006289308,0.0,0.0,0.0,0.0,1.0
SHEIK,1,YOSHIS_STORY,17,4,6,0.216353244184139,0.0,1.0,0.0,0.0,0.0
FOX,0,YOSHIS_STORY,17,4,4,0.0060120240480961,0.0,1.0,0.0,0.0,0.0
MARTH,0,BATTLEFIELD,56,7,4,0.1790993535975767,0.0,0.0,0.0,1.0,0.0
JIGGLYPUFF,1,BATTLEFIELD,56,7,4,0.3139285714285714,0.0,0.0,0.0,0.0,1.0
FALCO,0,DREAM_LAND_N64,76,6,4,0.2089449584267062,0.0,1.0,0.0,0.0,0.0
CAPTAIN_FALCON,1,DREAM_LAND_N64,76,6,4,0.0,0.0,0.0,0.0,1.0,0.0
MARTH,1,YOSHIS_STORY,1,1,0,0.2314649754804892,0.0,1.0,0.0,0.0,0.0
FOX,0,YOSHIS_STORY,1,1,0,0.3376467220154595,0.0,0.0,0.0,1.0,0.0
MARTH,0,YOSHIS_STORY,16,3,3,0.1882580451351947,0.0,0.0,0.0,0.0,1.0
FOX,1,YOSHIS_STORY,16,3,3,0.0060120240480961,0.0,0.0,0.0,0.0,1.0
MARTH,0,FOUNTAIN_OF_DREAMS,30,3,4,0.189927196089024,0.0,0.0,0.0,0.0,1.0
FOX,1,FOUNTAIN_OF_DREAMS,30,3,2,0.3284025157232704,0.0,0.0,1.0,0.0,0.0
MARTH,0,FOUNTAIN_OF_DREAMS,16,2,6,0.1863054177307039,0.0,0.0,0.0,0.0,1.0
SHEIK,1,FOUNTAIN_OF_DREAMS,16,2,3,0.0,0.0,1.0,0.0,0.0,0.0
FOX,0,FOUNTAIN_OF_DREAMS,34,0,4,0.2033669074979556,0.0,1.0,0.0,0.0,0.0
FOX,1,FOUNTAIN_OF_DREAMS,34,0,4,0.0,1.0,0.0,0.0,0.0,0.0
FOX,0,FINAL_DESTINATION,22,2,4,0.2504427549282732,0.0,0.0,1.0,0.0,0.0
FOX,1,FINAL_DESTINATION,22,2,4,0.065040650406504,0.0,0.0,1.0,0.0,0.0
FOX,0,BATTLEFIELD,30,3,3,0.1276895026404713,0.0,0.0,0.0,0.0,1.0
SHEIK,1,BATTLEFIELD,30,3,1,0.0656696428571428,0.0,0.0,0.0,1.0,0.0
FOX,1,DREAM_LAND_N64,48,5,4,0.2245378715576965,0.0,1.0,0.0,0.0,0.0
SHEIK,0,DREAM_LAND_N64,48,5,2,0.3105490196078431,0.0,0.0,0.0,1.0,0.0
FOX,1,DREAM_LAND_N64,46,7,3,0.2220338914051806,0.0,0.0,0.0,1.0,0.0
SHEIK,0,DREAM_LAND_N64,46,7,3,0.3105490196078431,0.0,0.0,0.0,1.0,0.0
SHEIK,0,YOSHIS_STORY,1,0,1,0.2265504071763693,0.0,1.0,0.0,0.0,0.0
SHEIK,1,YOSHIS_STORY,1,0,0,0.0060120240480961,0.0,0.0,0.0,1.0,0.0
SHEIK,0,BATTLEFIELD,34,6,5,0.1919292208028817,0.0,0.0,0.0,1.0,0.0
SHEIK,1,BATTLEFIELD,34,6,5,0.3178571428571429,0.0,1.0,0.0,0.0,0.0
